,Inspector,Violations,Address
2326,Jacob Johanson,"['2', '27']",1302  AUSTIN HWY        #B
2327,MICHELLE MORENO,"['10', '29', '34', '37']",4235  CULEBRA RD
2328,Jacob Johanson,[],201  PARLAND PL
2329,Deborah Liu,"['19', '29', '37']",8902  FLOYD CURL DR
2330,Lauren Schumacher,[],706  RIVERWALK E
2331,MICHELLE MORENO,"['7', '21', '22', '45']",1603  BANDERA RD
2332,MICHELLE MORENO,"['1', '14', '15', '21', '22', '27', '29', '33', '45']",3706  SHERRIL BROOK
2333,Joe Mokry,[],10500  SEA WORLD DR      #98E
2334,Valerie Suarez,"['14', '21', '27', '30', '31', '33', '35']",5503  LOOP 410 NW
2335,Erica Arreola,"['27', '28', '32', '42']",2711  FLORES ST S
2336,Adan Zamora,[],2630  SALLY GAY ST
2337,Nathan Balfour,[],6614  SPRING TIME
2338,Raul Jimenez,"['33', '39']",3407  CAPITOL ST
2339,Adan Zamora,[],4018  PRESA ST S
2340,Sean Gilbert,"['18', '18', '18', '19', '21', '22', '29', '30', '31', '42', '47', '47']",11715  BANDERA RD
2341,Adan Zamora,[],3966  SOUTHCROSS E
2342,Joe Mokry,[],10500  SEA WORLD DR      #98E
2343,Victoria Paredes,"['18', '39']",2620  GOLIAD RD
2344,Bernard Capdeboscq,"['35', '36', '37', '42', '43']",5380  WALZEM RD
2345,Joe Mokry,[],10500  SEA WORLD DR      #98E
2346,Joe Mokry,[],10500  SEA WORLD DR      #98E
2347,Sumner Bumgardner,"['21', '28', '29', '30', '32']",818  GRAYSON ST E
2348,Lauren Schumacher,"['2', '10', '29', '32', '35', '36', '36', '38', '39', '39', '39', '45', '45']",424  COMMERCE ST E
2349,Joe Mokry,[],10500  SEA WORLD DR      #98E
2350,Joe Mokry,[],10500  SEA WORLD DR      #98E
2351,Joe Mokry,[],10500  SEA WORLD DR      #98E
2352,Victoria Paredes,"['9', '9', '14', '14', '37', '39', '42', '45']",2727  GOLIAD RD
2353,William Hudson,"['20', '35', '42']",17700  US 281 N          400
2354,Joe Mokry,[],10500  SEA WORLD DR      #98E
2355,Cicily Martinez,"['2', '9', '10', '15', '18', '21', '22', '24', '28', '33', '34', '41', '45', '45', '45', '46']",1725  BLANCO RD
2356,Mario Cavazos,"['2', '21', '41', '46']",422  ZARZAMORA ST S
2357,Bernard Capdeboscq,"['10', '21', '22', '32', '39', '39', '43', '45', '46']",11725  O CONNOR RD
2358,Victoria Paredes,['44'],3222  GOLIAD RD
2359,Amanda Cantu,"['21', '47', '47']",3818  COMMERCE ST E
2360,Sean Gilbert,"['9', '18', '19', '29', '30', '31', '34', '45', '45', '45', '46', '47']",11851  BANDERA RD        #112
2361,Fermin Garza,['30'],8839  CULEBRA RD
2362,Bernard Capdeboscq,"['21', '36']",4424  RITTIMAN RD
2363,Valerie Suarez,"['21', '22', '29', '30', '31', '33', '35', '35', '35', '46']",5545  LOOP 410 NW
2364,Raul Jimenez,"['5', '10', '19', '29', '42']",2731  LOOP 410 NW
2365,Raul Jimenez,"['10', '28', '36', '39', '47']",1808  WEST AV
