,Inspector,Violations,Address
12025,Lauren Schumacher,"['29', '36', '39', '39', '39', '45', '47']",3231  MILITARY DR SW
12026,William Hudson,"['19', '21', '29', '30', '31', '40', '47']",15314  US 281 N
12027,William Hudson,[],2235  THOUSAND OAKS
12028,Fermin Garza,['30'],8503  MYSTIC PARK
12029,Kacie Patrick,[],104  GALLERY CIRCLE
12030,Sean Gilbert,"['9', '24', '29', '31', '35', '37', '39', '40', '41', '42', '45', '45']",11851  BANDERA RD        #112
12031,John Payelle,['45'],17703  IH 10 W
12032,Fermin Garza,['45'],8757  GRISSOM RD
12033,Daisy Zamora,['32'],13122  NACOGDOCHES RD
12034,Daisy Zamora,[],13523  NACOGDOCHES RD
12035,John Payelle,"['5', '18', '19', '21', '30', '39', '47', '47']",17631  LA CANTERA PKW
12036,Jeffrey Carrizales,"['2', '7', '14']",8440  FREDSBG RD
12037,Joe Mokry,['31'],12200  CROWNPOINT DR
12038,Sean Gilbert,"['24', '42', '45']",11715  BANDERA RD
12039,William Hudson,"['23', '33']",17700  US 281 N          400
12040,Kacie Patrick,[],20210  STONE OAK PY
12041,Daisy Zamora,"['21', '45', '46', '47']",13131  NACOGDOCHES RD
12042,Cicily Martinez,"['15', '34']",2301  BLANCO RD
12043,Daniel Guzman,"['2', '3', '45']",2515  NAVAJO ST
12044,Juanicia Page,[],503  LOVETT AV
12045,Bamba Njie,"['2', '9', '19', '22', '29', '29', '30', '39', '42', '43', '43', '45']",728  PRESA ST S
12046,William Emminger,"['33', '46']",8227  STATE HWY 151     101
12047,Debra Hernandez,[],2023  ZARZAMORA ST N
12048,Jacob Johanson,[],1327  AUSTIN HWY
12049,Jeffrey Carrizales,"['1', '1', '2', '3', '23', '23', '23', '23', '27', '27', '30', '35']",8516  FREDSBG RD
12050,Jacob Johanson,"['1', '10', '10', '18', '18', '22', '28', '30', '34', '34', '35', '45', '45', '45']",1264  AUSTIN HWY
12051,William Emminger,"['7', '9', '24', '28', '29', '31', '37', '39', '39', '40', '41', '41', '46']",8223  MARBACH RD
12052,Bamba Njie,"['15', '21', '36']",205  GUENTHER ST E
12053,John Payelle,['18'],17619  LA CANTERA PKW
12054,Adan Zamora,['31'],3306  ROLAND AV
12055,Sean Gilbert,"['1', '7']",9238  N FM 1604 W
12056,John Payelle,"['35', '47']",17627  LA CANTERA PKW
12057,Deborah Liu,"['1', '23']",6200  NORTHWEST PKWY
12058,Adan Zamora,[],4720  PECAN VALLE DR
12059,Adan Zamora,[],1603  GOLIAD RD
12060,Nathan Balfour,[],6803  N FM 1604 W
12061,William Hudson,[],1834  N 1604 W
12062,Sumner Bumgardner,"['28', '29', '30', '31', '46']",111  PECAN ST E
12063,Sumner Bumgardner,"['28', '29', '30', '39']",175  HOUSTON ST E
12064,Daisy Zamora,"['35', '42']",13835  NACOGDOCHES RD
12065,Daniel Guzman,"['2', '3', '40']",1339  CHAVANEAUX W
12066,RYAN DAVIS,"['21', '31', '35', '35', '37', '45']",8523  BLANCO RD
12067,Joe Mokry,"['3', '22', '32', '35', '45', '46']",15311  LOOKOUT RD
12068,Daniel Guzman,"['10', '42']",15239  POTEET JDTN FY
12069,Benito Zuniga,['43'],11911  N US HWY 281
12070,William Hudson,[],1754  N FM 1604 E
12071,Nathan Balfour,"['5', '7', '9', '10', '18', '19', '31', '33', '43', '45']",19605  IH 10 W
12072,Kacie Patrick,[],20203  STONE OAK PY
12073,RYAN DAVIS,[],11319  WEST AV
12074,William Hudson,[],946  N FM 1604 W
12075,Daniel Guzman,"['2', '34']",8718  ZARZAMORA ST S
12076,RYAN DAVIS,[],8511  BLANCO RD
12077,Adan Zamora,[],103  GOLIAD RD
12078,Valerie Suarez,"['9', '15', '21', '29', '31', '31', '32', '45']",4310  VANCE JACKSON
12079,Jacob Johanson,"['30', '31', '39', '45', '45']",4310  BLANCO RD         #2
12080,Valerie Suarez,"['7', '21', '28', '29', '30', '32', '33', '35', '46']",2331  VANCE JACKSON
12081,Kacie Patrick,"['1', '2', '28']",19211  HUEBNER RD
12082,Erica Arreola,"['1', '9', '27', '36', '42', '45']",217  MITCHELL ST W
12083,Monica Caballero,"['30', '39', '45']",227  OLD HWY 90 W
12084,Fermin Garza,['45'],7616  CULEBRA RD        #109
12085,Fermin Garza,"['42', '45']",8035  CULEBRA RD
12086,Kassandra Aguilar,"['10', '28', '34', '43']",1501  GEVERS ST S
12087,Adan Zamora,"['30', '39', '47']",4315  GEVERS ST S
12088,Fermin Garza,['30'],9094  GUILBEAU RD
12089,Lauren Schumacher,"['28', '31', '31', '35', '37', '41', '45', '45', '47', '47']",408  HOUSTON ST E
12090,Benito Zuniga,['22'],7800  BROADWAY
12091,Benito Zuniga,[],13486  US 281 N          #103
12092,RYAN DAVIS,[],14395  BLANCO RD
12093,RYAN DAVIS,"['29', '39', '46']",10003  NW MILITARY HY
12094,Erica Arreola,"['1', '9', '9', '14']",606  STEVES AV
12095,Kassandra Aguilar,"['34', '42']",211  AT&amp;T CENTER PY    #3A35
12096,Kassandra Aguilar,['42'],211  AT&amp;T CENTER PY    #3A35
12097,Kassandra Aguilar,"['32', '42', '43']",211  AT&amp;T CENTER PY    #3A35
12098,Kassandra Aguilar,[],211  AT&amp;T CENTER PY    #3A35
12099,Kassandra Aguilar,[],211  AT&amp;T CENTER PY    #3A35
12100,Kassandra Aguilar,[],211  AT&amp;T CENTER PY    #3A35
12101,Daisy Zamora,[],13905  NACOGDOCHES RD
12102,Bernard Capdeboscq,"['21', '22', '34', '35', '35', '42', '45']",8238  BROADWAY
12103,Erica Arreola,"['1', '32', '45']",3915  NOGALITOS ST
12104,Daisy Zamora,[],13469  WETMORE RD
12105,Benito Zuniga,[],3250  NACOGDOCHES RD
12106,Lauren Schumacher,"['9', '10', '10', '10', '31', '39', '39', '39', '45', '47']",123  LOSOYA            #6
12107,Monica Caballero,"['7', '7', '29', '30', '34', '39']",1211  CUPPLES RD
12108,John Payelle,"['28', '37', '39', '47']",24145  IH 10 W           101
12109,Erica Arreola,"['18', '42', '45']",930  DIVISION
12110,Fermin Garza,"['30', '42', '43', '45', '46']",8425  BANDERA RD
12111,Valerie Suarez,"['10', '15', '18', '19', '21', '30', '32', '32', '35', '35', '39', '41', '42', '45', '45']",2320  BABCOCK RD
12112,Adan Zamora,"['32', '35']",2405  HACKBERRY ST S
12113,John Payelle,"['10', '34']",1  DOMINION DR       #3
12114,Bernard Capdeboscq,"['21', '22', '23', '28', '30', '34', '35', '35', '36', '40', '42', '45']",2015  LOOP 410 NE
12115,Joe Mokry,['31'],15311  LOOKOUT RD
12116,Kacie Patrick,[],139  N 1604 E
12117,Kacie Patrick,[],18450  BLANCO RD
12118,Fermin Garza,[],8202  CULEBRA RD
12119,Joe Mokry,[],17614  BULVERDE RD
12120,Joe Mokry,['6'],16611  NACOGDOCHES RD
12121,Joe Mokry,['6'],16611  NACOGDOCHES RD
12122,Valerie Suarez,['30'],9333  LOOP 410 SW
12123,Bamba Njie,"['18', '31', '43']",1036  ALAMO ST S
12124,Adan Zamora,[],312  PEARL PY          #01
12125,Adan Zamora,[],303  PEARL PY
12126,Cicily Martinez,"['15', '21', '22', '22', '30']",1714  BLANCO RD
12127,John Payelle,"['38', '47', '47']",207  CHAVANEAUX W
12128,Jeffrey Carrizales,[],207  CHAVANEAUX W
12129,Bamba Njie,"['19', '43']",1629  PRESA ST S
12130,Daniel Guzman,['42'],12280  POTEET JDTN FY    BLDG#951
12131,Cicily Martinez,[],12280  POTEET JDTN FY    BLDG#951
12132,Cicily Martinez,[],12280  POTEET JDTN FY    BLDG#951
12133,Cicily Martinez,"['18', '31', '35']",12280  POTEET JDTN FY    BLDG#951
12134,Daniel Guzman,[],12280  POTEET JDTN FY    BLDG#951
12135,Daniel Guzman,['42'],12280  POTEET JDTN FY    BLDG#951
12136,Daniel Guzman,['29'],12280  POTEET JDTN FY    BLDG#951
12137,Cicily Martinez,[],12280  POTEET JDTN FY    BLDG#951
12138,Cicily Martinez,[],12280  POTEET JDTN FY    BLDG#951
12139,John Payelle,[],207  CHAVANEAUX W
12140,Sean Gilbert,[],11637  BANDERA RD
12141,Sean Gilbert,[],11637  BANDERA RD
12142,Erica Arreola,[],312  PEARL PY          #01
12143,MICHELLE MORENO,[],2874  MAJESTIC DR
12144,William Emminger,"['32', '42']",2134  PINN RD
12145,Erica Arreola,[],312  PEARL PY          #01
12146,Erica Arreola,[],503  FRIO CITY RD
12147,MICHELLE MORENO,['18'],5838  CULEBRA RD
12148,Daniel Guzman,['42'],12280  POTEET JDTN FY    BLDG#951
12149,MICHELLE MORENO,[],1331  BANDERA RD        H-10
12150,RYAN DAVIS,['31'],16101  HENDERSON PASS
12151,Valerie Suarez,"['24', '30']",9333  LOOP 410 SW
12152,Valerie Suarez,"['24', '30']",9333  LOOP 410 SW
12153,Valerie Suarez,"['24', '30']",9333  LOOP 410 SW
12154,RYAN DAVIS,"['18', '31', '31', '34', '46']",14415  BLANCO RD
12155,Erica Arreola,[],303  PEARL PY
12156,Jeffrey Carrizales,"['3', '28', '28', '47']",207  CHAVANEAUX W
12157,Erica Arreola,[],4302  FLORES ST S
12158,Adan Zamora,[],312  PEARL PY          #01
12159,Valerie Suarez,['30'],9333  LOOP 410 SW
12160,Adan Zamora,[],3818  PRESA ST S        2
12161,MICHELLE MORENO,[],1727  BANDERA RD
12162,Diana Garcia,['30'],100  JACKSON KELLER
12163,RYAN DAVIS,['22'],11745  IH 10 W
12164,Erica Arreola,[],312  PEARL PY          #01
12165,Erica Arreola,[],312  PEARL PY          #01
12166,Adan Zamora,[],312  PEARL PY          #01
12167,Sean Gilbert,[],11631  BANDERA RD
12168,Valerie Suarez,['30'],9333  LOOP 410 SW
12169,Valerie Suarez,['30'],9333  LOOP 410 SW
12170,William Emminger,['46'],1702  PINN RD
12171,Kassandra Aguilar,[],255  BASSE E           #310
12172,MICHELLE MORENO,[],1331  BANDERA RD        H-10
12173,Adan Zamora,[],312  PEARL PY          #01
12174,Adan Zamora,[],312  PEARL PY          #01
12175,Kassandra Aguilar,[],11745  IH 10 W
12176,Kassandra Aguilar,[],1174  COMMERCE ST E
12177,Jeffrey Carrizales,"['2', '2', '3', '19', '19', '19', '19', '23', '23', '23', '27', '34', '34', '34', '34', '38']",9502  IH 10 W
12178,Fermin Garza,['45'],9445  BANDERA RD
12179,Nathan Balfour,[],6480  BABCOCK RD
12180,Cicily Martinez,"['2', '9', '9', '10', '10', '28', '28', '35', '35', '41', '41', '45', '47']",1738  HILDEBRAND W
12181,Jeffrey Carrizales,"['2', '3', '4', '6', '10', '10', '21', '25', '33', '37', '37']",9202  WURZBACH RD
12182,John Payelle,"['2', '21', '28', '47', '47']",5250  DE ZAVALA RD
12183,William Hudson,"['39', '42', '45', '47']",18195  US 281 N
12184,Kacie Patrick,[],21115  US 281 N          #1600
12185,Monica Caballero,"['19', '21', '30', '35', '37', '39', '39', '43', '45', '45']",3103  ZARZAMORA ST S
12186,Debra Hernandez,"['2', '30']",2017  ZARZAMORA ST N
12187,Monica Caballero,"['7', '7', '30', '34', '42']",803  OLD HWY 90 W
12188,William Emminger,"['10', '10', '36', '37', '39']",131  LOOP 410 SW
12189,Bernard Capdeboscq,"['30', '44']",12111  O CONNOR RD
12190,Kacie Patrick,['29'],21119  N US HWY 281
12191,Maurico Ripley,"['18', '31', '34', '35']",9107  MARBACH RD
12192,Bernard Capdeboscq,"['18', '29']",11202  IH 35 N           1
12193,Daniel Guzman,"['2', '45']",9403  POTEET JDTN FY
12194,Maurico Ripley,"['32', '42']",9230  POTRANCO RD
12195,Daisy Zamora,"['28', '46']",10606  PERRIN BEITEL
12196,RYAN DAVIS,"['31', '31', '42', '45']",10003  NW MILITARY HY
12197,Cicily Martinez,[],1708  FREDSBG RD
12198,Fermin Garza,[],3838  ROGERS RD
12199,Debra Hernandez,['2'],426  SAN FELIPE N
12200,Benito Zuniga,"['32', '32']",459  MC CARTY RD
12201,John Payelle,[],12777  IH 10 W
12202,Maurico Ripley,"['32', '34', '34', '43']",9700  MILITARY DR W
12203,Bamba Njie,"['29', '30', '34']",617  SANTA ROSA S
12204,Debra Hernandez,"['2', '30']",1300  DELGADO ST
12205,Adan Zamora,"['43', '45']",523  FAIR AV
12206,Jeffrey Carrizales,"['2', '3', '5', '5', '10', '10', '10', '21', '30']",9210  WURZBACH RD
12207,Kacie Patrick,[],20079  STONE OAK PY      #1103
12208,Sean Gilbert,[],9234  N FM 1604 W
12209,Daisy Zamora,"['21', '28']",17230  AUTRY POND
12210,Erica Arreola,"['9', '14', '32', '32', '42']",606  STEVES AV
12211,Debra Hernandez,"['2', '30']",3018  CULEBRA RD
12212,Erica Arreola,[],310  MITCHELL ST E
12213,Bernard Capdeboscq,"['21', '34', '35', '36']",1003  RITTIMAN RD
12214,Bamba Njie,"['30', '42', '45']",119  COMMERCE ST E
12215,Kacie Patrick,"['29', '37', '39', '39', '39']",21103  US 281 N
12216,Fermin Garza,"['7', '45', '47']",7425  MAINLAND DR
12217,RYAN DAVIS,[],11700  BLANCO RD
12218,Bamba Njie,"['29', '32', '34', '43', '45']",110  SOLEDAD ST
12219,Lauren Schumacher,"['10', '10', '28', '39', '47', '47']",849  COMMERCE ST E
12220,Bernard Capdeboscq,"['10', '10', '21', '26', '42', '42', '47']",4400  RITTIMAN RD
12221,Jeffrey Carrizales,"['10', '10', '10', '10', '18', '18', '35']",8940  WURZBACH RD
12222,Maurico Ripley,[],144  HUNT LN
12223,Daisy Zamora,['47'],12914  JONES MALTSBRG
12224,Daisy Zamora,['18'],17230  BULVERDE RD
12225,Diana Garcia,"['28', '30', '32', '39', '45']",999  BASSE E
12226,Monica Caballero,"['30', '35', '35']",1705  ZARZAMORA ST S
12227,Sean Gilbert,"['24', '31', '37', '39', '39', '41', '42', '45', '45', '47']",11398  BANDERA RD
12228,Bamba Njie,"['9', '29', '32', '42', '43', '45']",1322  LAREDO ST S
12229,Jacob Johanson,"['25', '29', '31', '32', '47']",260  BASSE E           #107
12230,Lauren Schumacher,"['39', '45']",301  ALAMO PZ
12231,Sean Gilbert,[],10938  CULEBRA RD
12232,RYAN DAVIS,[],11423  WEST AV
12233,Nathan Balfour,[],6422  BABCOCK RD
12234,Jeffrey Carrizales,"['2', '3', '4', '5', '6', '9', '9', '10', '10', '19', '23', '23']",8224  FREDSBG RD
12235,Maurico Ripley,['42'],9822  POTRANCO RD
12236,William Hudson,[],1530  N FM 1604 E
12237,Erica Arreola,"['10', '27', '29', '36']",4901  FLORES ST S
12238,Jacob Johanson,"['5', '36']",10447  NACOGDOCHES RD
12239,Jacob Johanson,['45'],1435  AUSTIN HWY
12240,Benito Zuniga,[],210  BITTERS RD W
12241,Jeffrey Carrizales,"['2', '21', '21', '21', '21']",8750  WURZBACH RD
12242,William Hudson,"['23', '46', '47', '47']",808  N FM 1604 E
12243,Kacie Patrick,[],20079  STONE OAK PY      #1103
12244,Benito Zuniga,[],9519  SAN PEDRO AV
12245,Debra Hernandez,"['2', '29', '30']",3018  CULEBRA RD
12246,Sean Gilbert,"['31', '31']",11311  BANDERA RD
12247,Debra Hernandez,"['2', '30']",723  DONALDSON AV
12248,RYAN DAVIS,"['21', '30', '32', '34', '42', '42', '43']",12403  WEST AV
12249,John Payelle,[],12777  IH 10 W
12250,William Hudson,"['2', '23', '23']",14747  JONES MALTSBRG
12251,Maurico Ripley,[],10323  STATE HWY 151
12252,Adan Zamora,[],3500  NEW BRNFLS S
12253,Sean Gilbert,"['36', '45', '47']",9234  N FM 1604 W
12254,Lauren Schumacher,"['7', '10', '10', '35', '35', '35', '36', '37', '39', '47']",849  COMMERCE ST E
12255,Valerie Suarez,"['5', '15', '18', '18', '21', '22', '30', '33', '34', '35', '40', '42', '43', '45', '45']",6007  CALLAGHAN RD
12256,Bamba Njie,"['9', '37']",612  COMMERCE ST W     F1
12257,Kacie Patrick,[],25615  N US HWY 281
12258,Kacie Patrick,['1'],26478  U S 281 N
12259,William Hudson,[],871  BITTERS RD
12260,Fermin Garza,"['30', '45']",8802  FM 471 W
12261,Bamba Njie,['43'],430  SANTA ROSA S
12262,Sumner Bumgardner,"['9', '10', '21', '28', '47']",219  HOUSTON ST E      #275
12263,Kassandra Aguilar,"['32', '42', '43']",1901  NEW BRNFLS S
12264,Benito Zuniga,['7'],9697  SAN PEDRO AV
12265,Fermin Garza,['30'],9285  CULEBRA RD
12266,Valerie Suarez,"['5', '10', '17', '18', '21', '35']",5450  BABCOCK RD
12267,Amanda Cantu,"['21', '30', '40', '46']",5003  RIGSBY AV
12268,Juanicia Page,[],3350  MILITARY DR SW
12269,Juanicia Page,[],1007  POTEET JDTN FY    118
12270,Jeffrey Carrizales,"['2', '3', '4', '9', '10', '21', '37']",9226  WURZBACH RD
12271,Amanda Cantu,"['21', '30', '37', '42', '45']",922  W W WHITE RD S
12272,Jeffrey Carrizales,"['1', '2', '3', '9']",9502  IH 10 W
12273,Daisy Zamora,[],4415  RIO D ORO DR
12274,Kacie Patrick,"['30', '31']",18866  STONE OAK PY      #106
12275,Sean Gilbert,['37'],4101  WISEMAN BV
12276,Sean Gilbert,"['45', '47']",4101  WISEMAN BV
12277,Juanicia Page,[],5902  MEDINA BASE RD
12278,William Hudson,[],16522  US 281 N
12279,Erica Arreola,"['10', '31', '45']",1920  NOGALITOS ST
12280,Benito Zuniga,['7'],12828  US 281 N
12281,William Emminger,[],215  RICHLAND HILLS
12282,RYAN DAVIS,[],4800  WOODSTONE
12283,Fermin Garza,['45'],9160  GRISSOM RD
12284,Adan Zamora,"['2', '9', '35']",5708  NEW BRNFLS S
12285,Bamba Njie,"['32', '43', '45']",728  ALAMO ST S
12286,Adan Zamora,"['28', '37']",2107  GOLIAD RD
12287,Debra Hernandez,"['21', '29', '30']",2318  ZARZAMORA N
12288,Lauren Schumacher,"['9', '28', '35', '35', '39', '47']",231  ALAMO ST S
12289,Nathan Balfour,[],12812  IH 10 W
12290,Adan Zamora,"['9', '32', '37']",2525  W W WHITE RD S
12291,William Emminger,"['18', '18', '28', '29', '29', '33', '33', '37', '41', '43', '46']",8603  STATE HWY 151
12292,Cicily Martinez,"['2', '3', '10', '10', '10', '10', '18', '29', '30', '36', '37', '39', '45', '45', '46']",1503  MAIN AV N
12293,Benito Zuniga,[],2923  MACARTHUR VIEW
12294,Kassandra Aguilar,"['32', '35', '42', '42', '43']",1819  NEW BRNFLS S
12295,Debra Hernandez,"['2', '29', '30']",2907  FREDSBG RD
12296,Cicily Martinez,"['18', '34', '35', '41', '45', '45']",1302  FLORES ST N
12297,John Payelle,"['14', '14', '21']",5230  DE ZAVALA RD
12298,Mario Cavazos,"['2', '22', '30', '43', '45', '45', '45']",1601  GUADALUPE ST
12299,Valerie Suarez,"['21', '29', '30', '33', '37', '45']",6035  ECKHERT RD
12300,Fermin Garza,['30'],9793  CULEBRA RD
12301,Lauren Schumacher,"['9', '18', '28', '28', '30', '35', '35', '39', '39', '39', '39', '39', '41', '47']",401  ALAMO ST S
12302,Debra Hernandez,"['2', '7', '19', '31']",3006  CULEBRA AV
12303,Jacob Johanson,[],2  TOWERS PARK LN
12304,RYAN DAVIS,"['37', '42']",11821  WEST AV
12305,Adan Zamora,[],3533  MILITARY DR SE
12306,Amanda Cantu,"['21', '26', '30', '45', '45', '45']",110  W W WHITE RD S
12307,Sean Gilbert,"['19', '20', '23', '35', '37', '37', '39', '42']",11115  FM 471 W
12308,Nathan Balfour,"['2', '19', '27', '39', '42']",12826  IH 10 W
12309,Bamba Njie,"['9', '10', '19', '32', '39', '43']",612  COMMERCE ST W     F1
12310,Jacob Johanson,"['10', '41']",3903  ST MARYS N
12311,Benito Zuniga,"['28', '30', '37', '38', '39']",226  BITTERS RD W
12312,William Hudson,"['36', '39', '42', '47']",16910  US 281 N          #1
12313,RYAN DAVIS,['31'],11745  IH 10 W
12314,Sean Gilbert,"['5', '9', '14', '18', '23', '31', '32', '37', '39', '39', '39', '41', '45']",5519  W Loop 1604
12315,Lauren Schumacher,"['2', '31', '35', '40', '47']",524  ST MARYS S
12316,Bernard Capdeboscq,"['14', '35', '36', '42', '45']",9401  STARCREST DR
12317,Daisy Zamora,"['21', '42']",12335  WETMORE RD
12318,Sean Gilbert,"['31', '42', '45']",11309  BANDERA RD
12319,Erica Arreola,[],3223  NOGALITOS ST
12320,Jeffrey Carrizales,"['2', '3', '9', '9', '10', '10', '14', '15', '18', '19', '21', '22', '35', '45', '45']",3847  PARKDALE
12321,Amanda Cantu,"['18', '21', '22', '35', '37', '42']",4535  RIGSBY
12322,Mario Cavazos,"['2', '3', '9', '30', '43']",3016  COMMERCE ST W
12323,MICHELLE MORENO,"['1', '27', '28', '33', '39', '45']",1300  CALLAGHAN RD
12324,Bamba Njie,['31'],612  COMMERCE ST W     F1
12325,John Payelle,"['9', '19']",5222  DE ZAVALA RD
12326,Lauren Schumacher,"['28', '39', '40']",515  VILLITA ST
12327,Lauren Schumacher,['23'],420  ALAMO ST S
12328,Daisy Zamora,[],4243  THOUSAND OAKS
12329,Jacob Johanson,"['34', '39']",1  TOWERS PARK LN
12330,Kassandra Aguilar,['7'],2200  HOUSTON ST E
12331,William Emminger,"['10', '28', '34', '35', '38', '39', '39', '41', '42']",7430  NW 410
12332,Mario Cavazos,"['2', '2', '3', '6', '10', '31', '31']",1618  ZARZAMORA N
12333,Jeffrey Carrizales,"['2', '3', '7', '18', '18', '19', '19', '19', '19', '20', '20', '20', '20', '20', '23', '23', '23', '23', '29', '31', '31', '31', '45', '45']",4938  FREDSBG RD
12334,Joe Mokry,"['27', '46', '46']",15033  NACOGDOCHES RD
12335,Sean Gilbert,"['1', '27', '32', '45', '46', '47']",10010  W FM 1604 N       #B
12336,Amanda Cantu,"['21', '42', '45', '46']",438  WW WHITE RD S
12337,Sean Gilbert,"['31', '45', '46', '47']",9310  W 1604 N
12338,Jeffrey Carrizales,"['2', '3', '6', '9', '9', '10', '11']",8108  FREDSBG RD
12339,Lauren Schumacher,"['18', '28', '29', '39', '40', '45', '45', '47', '47', '47']",902  HOUSTON ST E
12340,William Emminger,"['39', '42', '45', '45', '45']",6050  INGRAM RD
12341,Joe Mokry,[],6909  N FM 1604 E
12342,Joe Mokry,[],6909  N FM 1604 E
12343,William Emminger,[],6050  INGRAM RD
12344,Erica Arreola,"['10', '18', '31', '42']",3800  NOGALITOS ST
12345,Lauren Schumacher,"['41', '47', '47']",849  COMMERCE ST E
12346,John Payelle,"['19', '19', '45', '47', '47']",5221  DE ZAVALA RD
12347,Maurico Ripley,"['22', '32']",9714  POTRANCO RD
12348,Erica Arreola,['42'],1231  PROBANDT ST
12349,Valerie Suarez,"['21', '30', '40', '47', '47']",4135  VANCE JACKSON
12350,William Emminger,"['32', '34', '34', '37', '39', '39', '42', '45', '45']",6818  MILITARY DR W
12351,Sean Gilbert,"['39', '41', '45', '45', '46']",11719  BANDERA RD
12352,Sean Gilbert,['45'],11711  BANDERA RD
12353,Bamba Njie,"['18', '36', '45']",1002  LAREDO ST S
12354,Amanda Cantu,"['21', '31', '35', '40', '43']",333  ROLAND AVE
12355,Daisy Zamora,[],14527  HIGGINS RD
12356,Erica Arreola,"['23', '28', '45']",1822  BRAZOS ST S
12357,Jacob Johanson,"['2', '29', '32', '35']",4009  BROADWAY
12358,Mario Cavazos,"['29', '43', '46']",1422  COMMERCE ST W
12359,Joe Mokry,"['21', '22', '23']",6909  N FM 1604 E
12360,Bernard Capdeboscq,[],5456  WALZEM RD
12361,Jacob Johanson,[],1350  AUSTIN HWY
12362,John Payelle,['45'],18203  IH 10 W
12363,William Emminger,['10'],8603  STATE HWY 151
12364,Daisy Zamora,[],4300  THOUSAND OAKS
12365,William Hudson,"['46', '47']",15720  US 281 N
12366,Maurico Ripley,['31'],9865  POTRANCO RD
12367,Deborah Liu,[],8535  TOM SLICK
12368,Erica Arreola,[],711  PLEASANTON RD
12369,Erica Arreola,['42'],4601  FLORES ST S
12370,Erica Arreola,"['31', '32', '36', '42', '47']",901  DIVISION
12371,Maurico Ripley,"['28', '34', '37', '39']",2525  LOOP 410 SW
12372,Debra Hernandez,"['2', '18', '30', '41', '42']",5103  COMMERCE ST W
12373,Debra Hernandez,"['2', '2', '10', '31', '36']",2550  CULEBRA RD
12374,Erica Arreola,['28'],2026  NOGALITOS ST
12375,William Hudson,[],16602  US 281 N
12376,Nathan Balfour,[],15900  LA CANTERA PARKWAY
12377,Debra Hernandez,"['2', '14', '15', '19', '19', '31', '31', '34', '35', '47']",604  BANDERA RD
12378,Jacob Johanson,"['6', '7', '18', '28', '31', '32', '34', '39', '45', '45']",1518  AUSTIN HWY        17
12379,Bernard Capdeboscq,"['2', '18', '19', '21', '25', '31', '31', '34', '36', '39', '45', '45']",5600  WALZEM RD
12380,Maurico Ripley,"['29', '37']",8260  MARBACH RD
12381,Lauren Schumacher,"['7', '10', '10', '18', '23', '31', '31']",517  PRESA ST N
12382,Valerie Suarez,"['9', '9', '10', '21', '30', '31', '33', '34', '34', '35', '42', '43', '43', '45', '45']",3811  BLANCO RD
12383,Maurico Ripley,[],222  BERTETTI DR
12384,Jeffrey Carrizales,"['2', '2', '3', '27', '27', '29', '29']",7863  CALLAGHAN RD      #208
12385,Erica Arreola,[],422  PLEASANTON RD     #1
12386,Debra Hernandez,"['2', '30']",1502  BANDERA RD
12387,Kacie Patrick,['43'],18206  BLANCO RD
12388,Sumner Bumgardner,"['1', '2', '2', '9', '18', '21', '27', '29', '30', '32', '41', '42', '45']",918  MAIN AV N
12389,Sumner Bumgardner,"['9', '21', '28']",115  BROADWAY
12390,Mario Cavazos,"['2', '36']",603  24TH ST SW
12391,Daisy Zamora,['21'],12728  NACOGDOCHES RD
12392,Amanda Cantu,"['10', '30', '31', '32', '32', '32', '40']",3107  MARTIN L KING
12393,Nathan Balfour,"['34', '39', '39']",5602  HAUSMAN RD W
12394,Sean Gilbert,"['28', '45']",6626  W 1604 N
12395,Amanda Cantu,"['9', '21', '30', '31', '34', '38']",1699  RIGSBY AV
12396,Bamba Njie,"['28', '42', '43', '45']",323  MAIN AV N
12397,Lauren Schumacher,"['2', '18', '35', '37']",112  COLLEGE ST
12398,Nathan Balfour,[],15900  LA CANTERA PARKWAY
12399,Maurico Ripley,[],1530  W FM 1604 N
12400,William Hudson,[],16100  US 281 N
12401,Lauren Schumacher,"['10', '31', '35', '36', '39', '39', '45']",245  COMMERCE ST E     #400
12402,Bamba Njie,"['18', '36', '42', '43', '45']",115  MAIN PLAZA
12403,MICHELLE MORENO,[],6218  NW 410
12404,William Emminger,['29'],323  LOOP 410 SW
12405,Sumner Bumgardner,['46'],112  BROADWAY
12406,Sean Gilbert,"['46', '47']",9950  W FM 1604 N
12407,Jeffrey Carrizales,['21'],3718  HORIZON HILL
12408,Bernard Capdeboscq,"['21', '47']",1901  NACOGDOCHES RD    #103
12409,John Payelle,"['5', '21', '41', '47']",23535  IH 10 W           #2102
12410,Mario Cavazos,"['2', '2', '3', '10']",4622  COMMERCE ST W
12411,Joe Mokry,['31'],2339  EVANS RD E        #103
12412,William Emminger,"['29', '29']",143  RICHLAND HILLS
12413,Jeffrey Carrizales,[],7423  CALLAGHAN RD
12414,William Hudson,"['31', '37', '42']",15104  US 281 N
12415,Debra Hernandez,"['2', '29', '30']",1933  FREDSBG RD        #101
12416,Mario Cavazos,"['2', '29']",1746  POPLAR ST W
12417,Valerie Suarez,"['10', '10', '19', '21', '29', '30', '32', '34', '34', '36', '37', '40', '41', '45', '45', '46']",3219  BLANCO RD
12418,Maurico Ripley,[],9502  POTRANCO RD
12419,Joe Mokry,[],19314  US 281 N          #110
12420,Kacie Patrick,"['28', '34', '36', '39', '39', '39', '42', '45']",901  SONTERRA
