,inspection_date,inspector,number_of_violations,violations,zip_code,house_numbers,categories,transactions,distance,review_count,longitude,latitude,name,sector,district,total_score,rating,price,establishment_x,establishment_y,address_x,address_y,trimmed_name_x,trimmed_name_y,clean_address_x,clean_address_y,address_distance,name_distance
61,2019-09-09,RYAN DAVIS,1,['9'],78231,2313,['Dim Sum'],[],5393.477831365398,189.0,-98.526767,29.541735,Dim Sum Oriental Cuisine,9,A,97,4.5,$$,dim sum oriental cuisine,Dim Sum Oriental Cuisine,2313 nw military hy ,2313 nw military hwy,dim sum oriental cuisine,dim sum oriental cuisine,military hwy,nw military hwy,3,0
62,2019-08-15,RYAN DAVIS,2,"['31', '41']",78230,14439,"['French', 'Asian Fusion', 'Tapas/Small Plates']",[],9312.955170251551,102.0,-98.54454,29.57333,Frederick's Bistro,9,A,97,4.0,$$$,fredrick's bistro,Frederick's Bistro,14439 military hy nw ,14439 nw military hwy,fredrick's bistro,fredericks bistro,military hwy,nw military hwy,3,2
63,2019-11-26 00:00:00,RYAN DAVIS,0,[],78231,2313,['Dim Sum'],[],5393.477831365398,189.0,-98.526767,29.541735,Dim Sum Oriental Cuisine,9,A,100,4.5,$$,dim sum oriental cuisine,Dim Sum Oriental Cuisine,2313 nw military hy ,2313 nw military hwy,dim sum oriental cuisine,dim sum oriental cuisine,military hwy,nw military hwy,3,0
64,2019-08-12,Monica Caballero,5,"['28', '30', '39', '39', '44']",78226,1816,['Mexican'],[],11733.795511920236,11.0,-98.559191,29.396365000000003,Fajita Taco Place,29,D,96,3.5,$,fajita taco place #3,Fajita Taco Place,1816 thompson place ,1816 thompson pl,fajit taco place #3,fajit taco place,thompson place,thompson pl,3,3
65,2019-11-26 00:00:00,Daisy Zamora,0,[],78247,13800,"['Barbeque', 'Moroccan']","['pickup', 'delivery']",9970.923826750108,99.0,-98.45214,29.565790000000003,Bushwood BBQ,15,B,100,4.0,$$,bushwood bbq,Bushwood BBQ,13800 jones maltsbrg ,13800 jones maltsberger rd,bushwood bbq,bushwood bbq,jones maltsbrg,jones maltsberger,3,0
66,2019-11-26 00:00:00,Daisy Zamora,0,[],78247,13800,"['Barbeque', 'Moroccan']","['delivery', 'pickup']",9970.923826750108,99.0,-98.45214,29.565790000000003,Bushwood BBQ,15,B,100,4.0,$$,bushwood bbq,Bushwood BBQ,13800 jones maltsbrg ,13800 jones maltsberger rd,bushwood bbq,bushwood bbq,jones maltsbrg,jones maltsberger,3,0
67,2019-02-05,Bamba Njie,3,"['30', '42', '45']",78208,1720,['Barbeque'],[],7981.026377420518,25.0,-98.46072099999999,29.439958,Bill Miller Bar-B-Q,20,C,80,3.0,$,bill miller bbq #28,Bill Miller Bar-B-Q,1720 new brnfls n ,1720 n new braunfels,bill miller bbq #28,bill miller barbq,new brnfls,new braunfels,3,6
68,2019-11-26 00:00:00,RYAN DAVIS,2,"['27', '42']",78231,2313,['Mexican'],['delivery'],5337.150239342017,90.0,-98.52708677360509,29.5411504748917,Abuela's Mexican Restaurant,9,A,97,4.5,$,abuelas mexican restaurant,Abuela's Mexican Restaurant,2313 nw military hy ,2313 nw military hwy,abue mexic restaurant,abuelas mexic restaurant,military hwy,nw military hwy,3,3
69,2019-08-12,RYAN DAVIS,1,['21'],78231,14510,['Pizza'],['delivery'],9486.59566824094,36.0,-98.54434657703251,29.575678633308396,Marco's Pizza,9,A,98,3.0,$,marcos pizza,Marco's Pizza,14510 military hy nw ,14510 nw military hwy,marcos pizza,marcos pizza,military hwy,nw military hwy,3,0
70,2019-09-12,William Emminger,4,"['14', '34', '42', '45']",78238,7210,"['Desserts', 'Burgers', 'Seafood']",['delivery'],12102.35362952554,70.0,-98.62961,29.452170000000002,J Anthony's Seafood,33,D,94,3.0,$$,janthonys seafood cafe,J Anthony's Seafood,7210 loop 410 nw ,7210 nw lp 410,janthonys seafood cafe,j anthonys seafood,lp 410,nw lp 410,3,6
