,establishment,inspection_date,sector,district,total_score,link,zip_code,address_and_zip,address,separated_address,house_numbers,trimmed_name,split_address,clean_address
9306,steak n shake,2019-09-12,13,B,90,Link,78216,"9800 airport bv san antonio, tx 782164837",9800 airport bv ,"['9800', 'airport', 'bv']",9800,steak n shake,airport bv,airport
9307,subway #65079,2019-09-12,4,A,96,Link,78257,"17815 la cantera pkw san antonio, tx 78257",17815 la cantera pkw ,"['17815', 'la', 'cantera', 'pkw']",17815,subway #65079,la cantera pkw,la cantera pkw
9308,subway sandwich shop #,2019-09-12,9,A,100,Link,78213,"11615 west av san antonio, tx 782131344",11615 west av ,"['11615', 'west', 'av']",11615,subway sandwich shop #,west av,west
9309,sure stay plus hotel bw,2019-09-12,17,B,94,Link,78233,"10815 ih 35 n san antonio, tx 782330",10815 ih 35 n ,"['10815', 'ih', '35', 'n']",10815,sure stay plus hot bw,ih 35 n,ih 35
9310,sushi express,2019-09-12,10,B,87,Link,78258,"19903 stone oak py san antonio, tx 78258128",19903 stone oak py ,"['19903', 'stone', 'oak', 'py']",19903,sushi express,stone oak py,stone oak py
9311,taco bell 31399,2019-09-12,6,A,98,Link,78229,"2501 babcock rd san antonio, tx 782290",2501 babcock rd ,"['2501', 'babcock', 'rd']",2501,taco bell 31399,babcock rd,babcock
9312,taco cabana #373,2019-09-12,1,A,98,Link,78229,"4315 loop 410 nw san antonio, tx 78229",4315 loop 410 nw ,"['4315', 'loop', '410', 'nw']",4315,taco caban #373,loop 410 nw,loop 410w
9313,tamale factory san antonio,2019-09-12,21,C,89,Link,78220,"4705 rigsby av san antonio, tx 782201213",4705 rigsby av ,"['4705', 'rigsby', 'av']",4705,tamale factory s antonio,rigsby av,rigsby
9314,taqueria anahuac,2019-09-12,32,D,87,Link,78211,"3735 military dr sw san antonio, tx 782113514",3735 military dr sw ,"['3735', 'military', 'dr', 'sw']",3735,taqueri anahuac,military dr sw,militaryw
9315,taqueria tapatio de jalisco,2019-09-12,25,C,97,Link,78221,"10307 roosevelt av san antonio, tx 782213458",10307 roosevelt av ,"['10307', 'roosevelt', 'av']",10307,taqueri tapatio  jalisco,roosevelt av,roosevelt
9316,taqueria catrina,2019-09-12,26,C,93,Link,78211,"536 new laredo hwy san antonio, tx 78211",536 new laredo hwy ,"['536', 'new', 'laredo', 'hwy']",536,taqueri catrina,new laredo hwy,new laredo hwy
9317,taqueria perla de jalisco,2019-09-12,25,C,96,Link,78223,"2255 military dr se san antonio, tx 782233525",2255 military dr se ,"['2255', 'military', 'dr', 'se']",2255,taqueri perl  jalisco,military dr se,militarye
9318,the cookhouse,2019-09-12,35,D,100,Link,78212,"720 mistletoe av e san antonio, tx 782123521",720 mistletoe av e ,"['720', 'mistletoe', 'av', 'e']",720, cookhouse,mistletoe av e,mistletoe
9319,the corporate square coffee,2019-09-12,1,A,92,Link,78229,"4801 loop 410 nw san antonio, tx 782295347",4801 loop 410 nw ,"['4801', 'loop', '410', 'nw']",4801, corporate square coffee,loop 410 nw,loop 410w
9320,the fruteria,2019-09-12,13,B,87,Link,78216,"9800 airport bv san antonio, tx 782164837",9800 airport bv ,"['9800', 'airport', 'bv']",9800, fruteria,airport bv,airport
9321,the light house neighborhood lounge,2019-09-12,34,D,100,Link,78201,"1016 cincinnati av san antonio, tx 782016030",1016 cincinnati av ,"['1016', 'cincinnati', 'av']",1016, light house neighborhood lounge,cincinnati av,cincinnati
9322,the patio southtown,2019-09-12,27,C,94,Link,78210,"1035 presa st s san antonio, tx 782101359",1035 presa st s ,"['1035', 'presa', 'st', 's']",1035, patio southtown,presa st s,presa
