,DISTRICT,ESTABLISHMENT ADDRESS,ESTABLISHMENT NAME,INSPECTION DATE,LINK,SECTOR,TOTAL SCORE
44,A,"7023 HAUSMAN RD W San Antonio, TX 782490",ARDEN PARK ASSISTED LIVING,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412969&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,3,100
45,C,"1002 LAREDO ST S SAN ANTONIO, TX 78204",BEST WESTERN,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412952&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,27,95
46,A,"8333 CULEBRA RD San Antonio, TX 782511602",BOBA TEA GARDEN,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412997&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,5,97
47,A,"5622 UTEX BV San Antonio, TX 782490",COMFORT INN & SUITES,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412921&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,3,100
48,D,"2800 CULEBRA RD San Antonio, TX 782286218",CULEBRA MEAT MARKET #1,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412961&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,81
49,B,"17307 BULVERDE RD San Antonio, TX 782470",CVS PHARMACY #7187,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413007&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,15,100
50,B,"15033 NACOGDOCHES RD San Antonio, TX 782471220",EASY STREET LOUNGE,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412974&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,14,99
51,B,"4310 BLANCO RD San Antonio, TX 782121108",EL COMEDOR REGIO,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412919&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,18,91
52,D,"4645 COMMERCE ST W San Antonio, TX 782371631",EL POLLO LOCO #3778,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413021&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,34,92
53,A,"9259 N 1604 W San Antonio, TX 782490",EL POLLO LOCO #3798,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413020&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,2,91
54,A,"9855 WESTOVER HILLS San Antonio, TX 782510",EUREST DINING SERVICES,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412902&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,5,100
55,D,"7436 MILITARY DR W San Antonio, TX 782272949",FAMILY DOLLAR STORE #3145 #,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1412929&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,33,98
56,D,"2310 MILITARY DR SW San Antonio, TX 782241407",FAMOUS CAJUN GRILL-SOUTH PARK,2019-01-03,https://samhd-tx.mydhd.com/webadmin/dhd_134/paper/_paper_inspection_food.cfm?inspectionID=1413013&parentTableName=tblInspection&dsn=DHD_134&&domainID=134&wguid=1367&wgunm=sysact&wgdmn=134,36,95
